
  [ML-GATE] Loaded 36 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 90 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  ETHUSD       |   61 trades | WR  55.7% | PF  0.55 | PnL $  -35.98 | DD   4.1% | avgR -0.12 | peak 1.1R → give 1.3R | eq $964  [costs gross=$    -36 comm=$  0.02 swap=$  -0.24]
  BCHUSD       |   68 trades | WR  69.1% | PF  1.77 | PnL $  112.32 | DD   6.5% | avgR +0.29 | peak 1.6R → give 1.3R | eq $1112  [costs gross=$   +117 comm=$  2.71 swap=$  -1.89]
  UKOUSD       |   86 trades | WR  80.2% | PF  9.58 | PnL $ 4289.23 | DD   4.6% | avgR +2.14 | peak 3.2R → give 1.0R | eq $5289  [costs gross=$  +4296 comm=$  3.88 swap=$  -2.46]
  COPPER-Cr    |   19 trades | WR  42.1% | PF  0.20 | PnL $  -77.94 | DD   8.1% | avgR -0.46 | peak 0.7R → give 1.2R | eq $923  [costs gross=$    -76 comm=$  1.58 swap=$  -0.23]
  GBPCAD       |   13 trades | WR  15.4% | PF  0.06 | PnL $  -88.14 | DD   8.8% | avgR -0.92 | peak 0.5R → give 1.6R | eq $920  [costs gross=$    -86 comm=$  2.09 swap=$  -0.38]
  GBPNZD       |    8 trades | WR   0.0% | PF  0.00 | PnL $  -82.31 | DD   8.2% | avgR -1.91 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -82 comm=$  0.67 swap=$  -0.01]
  AUDCAD       |   23 trades | WR  39.1% | PF  0.45 | PnL $  -60.62 | DD   8.2% | avgR -0.34 | peak 0.9R → give 1.3R | eq $942  [costs gross=$    -54 comm=$  5.12 swap=$  -1.36]
  AUDCHF       |   16 trades | WR  18.8% | PF  0.14 | PnL $  -83.63 | DD   8.4% | avgR -0.87 | peak 0.5R → give 1.5R | eq $920  [costs gross=$    -78 comm=$  4.83 swap=$  -0.69]
  AUDNZD       |    5 trades | WR   0.0% | PF  0.00 | PnL $  -87.98 | DD   8.8% | avgR -2.29 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -86 comm=$  1.55 swap=$  -0.08]
  NZDCAD       |    9 trades | WR   0.0% | PF  0.00 | PnL $  -86.80 | DD   8.7% | avgR -1.94 | peak 0.1R → give 2.6R | eq $920  [costs gross=$    -85 comm=$  2.02 swap=$  -0.11]
