
  [ML-GATE] Loaded 34 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 180 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  GBPCAD       |   17 trades | WR  23.5% | PF  0.10 | PnL $  -90.57 | DD   9.1% | avgR -0.62 | peak 0.4R → give 0.9R | eq $920  [costs gross=$    -87 comm=$  2.99 swap=$  -0.44]
  GBPNZD       |    8 trades | WR   0.0% | PF  0.00 | PnL $  -82.92 | DD   8.3% | avgR -1.60 | peak 0.2R → give 1.9R | eq $920  [costs gross=$    -82 comm=$  0.70 swap=$  -0.01]
  AUDCAD       |   17 trades | WR  35.3% | PF  0.05 | PnL $  -80.88 | DD   8.1% | avgR -0.61 | peak 0.4R → give 0.8R | eq $920  [costs gross=$    -75 comm=$  4.99 swap=$  -0.40]
  AUDCHF       |   25 trades | WR  28.0% | PF  0.39 | PnL $  -58.49 | DD   8.4% | avgR -0.18 | peak 0.9R → give 1.0R | eq $945  [costs gross=$    -48 comm=$  9.46 swap=$  -1.07]
  AUDNZD       |    5 trades | WR   0.0% | PF  0.00 | PnL $  -89.99 | DD   9.0% | avgR -2.23 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -88 comm=$  1.57 swap=$  +0.00]
  NZDCAD       |    6 trades | WR   0.0% | PF  0.00 | PnL $  -89.41 | DD   8.9% | avgR -2.08 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -87 comm=$  2.18 swap=$  +0.00]
  NZDCHF       |    7 trades | WR   0.0% | PF  0.00 | PnL $  -90.61 | DD   9.1% | avgR -2.06 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -88 comm=$  3.09 swap=$  +0.00]
  CADCHF       |   18 trades | WR  22.2% | PF  0.31 | PnL $  -76.15 | DD   8.1% | avgR -0.60 | peak 0.7R → give 1.1R | eq $925  [costs gross=$    -66 comm=$  9.74 swap=$  -0.63]
  FRA40.r      |   39 trades | WR  48.7% | PF  1.76 | PnL $  122.04 | DD   8.7% | avgR +0.32 | peak 1.4R → give 1.0R | eq $1130  [costs gross=$   +123 comm=$  0.65 swap=$  -0.08]
  DJ30.r       |  464 trades | WR  47.8% | PF  2.91 | PnL $15372.76 | DD   7.5% | avgR +0.78 | peak 1.7R → give 0.8R | eq $16373  [costs gross=$ +15395 comm=$ 21.74 swap=$  -0.59]
