
  [ML-GATE] Loaded 36 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 180 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  AUDCAD       |   18 trades | WR  38.9% | PF  0.13 | PnL $  -87.59 | DD   8.8% | avgR -0.59 | peak 0.6R → give 1.1R | eq $920  [costs gross=$    -82 comm=$  5.53 swap=$  -0.32]
  AUDCHF       |   21 trades | WR  28.6% | PF  0.38 | PnL $  -64.35 | DD   8.5% | avgR -0.33 | peak 1.1R → give 1.5R | eq $940  [costs gross=$    -55 comm=$  8.38 swap=$  -0.99]
  AUDNZD       |    7 trades | WR   0.0% | PF  0.00 | PnL $  -90.85 | DD   9.1% | avgR -2.18 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -89 comm=$  1.56 swap=$  +0.00]
  NZDCAD       |   10 trades | WR  20.0% | PF  0.14 | PnL $  -97.61 | DD   9.8% | avgR -1.31 | peak 0.6R → give 1.7R | eq $920  [costs gross=$    -94 comm=$  3.30 swap=$  -0.44]
  NZDCHF       |    6 trades | WR   0.0% | PF  0.00 | PnL $  -90.17 | DD   9.0% | avgR -2.07 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -87 comm=$  3.08 swap=$  +0.00]
  CADCHF       |   20 trades | WR  35.0% | PF  1.52 | PnL $   79.27 | DD   8.8% | avgR +0.59 | peak 2.0R → give 1.5R | eq $1089  [costs gross=$    +95 comm=$ 12.37 swap=$  -3.65]
  FRA40.r      |   18 trades | WR  44.4% | PF  0.66 | PnL $  -43.09 | DD   8.2% | avgR -0.22 | peak 1.2R → give 1.5R | eq $959  [costs gross=$    -43 comm=$  0.38 swap=$  -0.06]
  DJ30.r       |   61 trades | WR  45.9% | PF  1.84 | PnL $  376.68 | DD   8.2% | avgR +0.54 | peak 1.8R → give 1.4R | eq $1380  [costs gross=$   +378 comm=$  1.03 swap=$  -0.06]
  EU50.r       |   34 trades | WR  67.6% | PF  1.79 | PnL $  100.19 | DD   8.0% | avgR +0.47 | peak 1.7R → give 1.3R | eq $1101  [costs gross=$   +102 comm=$  1.17 swap=$  -0.24]
  HK50.r       |   25 trades | WR  44.0% | PF  0.20 | PnL $  -82.69 | DD   8.3% | avgR -0.44 | peak 0.8R → give 1.3R | eq $920  [costs gross=$    -75 comm=$  6.23 swap=$  -1.40]
