
  [ML-GATE] Loaded 36 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 180 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  DJ30.r       |  457 trades | WR  47.3% | PF  2.95 | PnL $18334.63 | DD   7.9% | avgR +0.85 | peak 1.9R → give 1.1R | eq $19335  [costs gross=$ +18360 comm=$ 24.88 swap=$  -0.78]
  EU50.r       |   52 trades | WR  59.6% | PF  2.25 | PnL $  203.83 | DD   8.2% | avgR +0.49 | peak 1.6R → give 1.2R | eq $1207  [costs gross=$   +206 comm=$  1.72 swap=$  -0.30]
  HK50.r       |   27 trades | WR  40.7% | PF  0.67 | PnL $  -42.88 | DD   8.3% | avgR -0.17 | peak 0.9R → give 1.0R | eq $960  [costs gross=$    -29 comm=$ 10.63 swap=$  -3.11]
  CHINA50.r    |   46 trades | WR  34.8% | PF  0.53 | PnL $  -86.55 | DD   8.7% | avgR -0.13 | peak 1.0R → give 1.1R | eq $920  [costs gross=$    -38 comm=$ 39.04 swap=$  -9.12]
  NETH25.r     |   11 trades | WR  18.2% | PF  0.02 | PnL $  -82.52 | DD   8.3% | avgR -0.89 | peak 0.4R → give 1.5R | eq $920  [costs gross=$    -81 comm=$  1.05 swap=$  -0.09]
  SWI20.r      |  102 trades | WR  73.5% | PF  3.93 | PnL $  583.52 | DD   3.7% | avgR +0.54 | peak 1.5R → give 1.0R | eq $1584  [costs gross=$   +585 comm=$  0.61 swap=$  -0.92]
  LTCUSD       |   23 trades | WR  17.4% | PF  0.32 | PnL $  -80.97 | DD   8.1% | avgR -0.47 | peak 0.8R → give 1.3R | eq $920  [costs gross=$    -75 comm=$  5.13 swap=$  -0.60]
  SOLUSD       |   60 trades | WR  56.7% | PF  0.87 | PnL $  -24.27 | DD   8.7% | avgR -0.00 | peak 1.3R → give 1.3R | eq $983  [costs gross=$    -12 comm=$ 10.50 swap=$  -1.43]
  XRPUSD       |   96 trades | WR  47.9% | PF  1.31 | PnL $  102.29 | DD   8.5% | avgR +0.11 | peak 1.3R → give 1.2R | eq $1108  [costs gross=$   +119 comm=$ 15.01 swap=$  -1.52]
  ADAUSD       |   16 trades | WR  18.8% | PF  0.09 | PnL $  -85.23 | DD   8.5% | avgR -0.71 | peak 0.7R → give 1.4R | eq $920  [costs gross=$    -78 comm=$  7.24 swap=$  -0.36]
  DOGUSD       |   12 trades | WR   0.0% | PF  0.00 | PnL $  -91.94 | DD   9.2% | avgR -0.89 | peak 0.3R → give 1.0R | eq $920  [costs gross=$    -74 comm=$ 17.37 swap=$  -0.65]
  USOUSD       |   19 trades | WR  26.3% | PF  0.80 | PnL $  -22.56 | DD   8.1% | avgR -0.19 | peak 1.1R → give 1.3R | eq $979  [costs gross=$    -20 comm=$  2.66 swap=$  -0.31]
  CL-OIL       |   15 trades | WR  13.3% | PF  0.36 | PnL $  -65.89 | DD   8.2% | avgR -0.67 | peak 0.7R → give 1.5R | eq $937  [costs gross=$    -64 comm=$  2.12 swap=$  -0.20]
  NG-Cr        |  129 trades | WR  65.1% | PF  2.14 | PnL $  442.13 | DD   7.6% | avgR +0.59 | peak 1.7R → give 1.1R | eq $1442  [costs gross=$   +546 comm=$ 78.76 swap=$ -25.11]
  GAS-Cr       |   16 trades | WR  31.2% | PF  0.38 | PnL $  -70.38 | DD   8.6% | avgR -0.35 | peak 1.0R → give 1.5R | eq $935  [costs gross=$    -61 comm=$  8.28 swap=$  -1.39]

  TOTAL: 4703 trades | PnL $58048.98 | commission $917.94 | swap $-889.23
